x1,y1,x2,y2,Width,Length
74.862909,158.49535,73.752603,160.19624,0.2,2.03120806559445
73.752603,160.19624,72.831287,161.59003,0.2,1.67077040192721
72.831287,161.59003,72.217075,162.60584,0.2,1.1870662732316
72.217075,162.60584,71.366628,164.21224,0.2,1.81763061698713
71.366628,164.21224,70.114582,166.31473,0.2,2.4470560651967
70.114582,166.31473,69.523995,167.23605,0.2,1.09435988000704
69.523995,167.23605,69.264135,168.41722,0.2,1.20941712758668
69.264135,168.41722,68.791666,169.9055,0.2,1.56147504442467
91.281249,138.20275,93.927082,140.02176,0.2,3.21079891054998
93.927082,140.02176,96.691033,142.00614,0.2,3.40252687201747
96.691033,142.00614,101.03776,145.31343,0.2,5.46188637346375
101.03776,145.31343,103.44736,147.62853,0.2,3.34153560058845
103.44736,147.62853,107.25074,151.83352,0.2,5.66988891641627
107.25074,151.83352,109.117,154.10137,0.2,2.93701719608518
109.117,154.10137,110.53441,156.08575,0.2,2.43860925375509
110.53441,156.08575,112.30618,158.49535,0.2,2.99087630852566
112.30618,158.49535,114.17243,161.61365,0.2,3.6341001571916
114.17243,161.61365,114.90476,163.1728,0.2,1.72257248073919
114.90476,163.1728,115.63709,165.01544,0.2,1.98283367898066
91.186756,135.53329,89.863839,136.17113,0.2,1.46865559423883
89.863839,136.17113,87.973957,137.37593,0.2,2.24124898525889
87.973957,137.37593,85.56436,138.79334,0.2,2.79556949663373
85.56436,138.79334,82.351561,141.20294,0.2,4.01599920000005
82.351561,141.20294,79.493117,143.75427,0.2,3.83144709868687
79.493117,143.75427,78.193825,145.02994,0.2,1.82084970553969
78.193825,145.02994,76.658294,146.80171,0.2,2.34457339080291
76.658294,146.80171,74.910155,148.57347,0.2,2.48900049435933
74.910155,148.57347,73.138392,150.74684,0.2,2.80404730435652
73.138392,150.74684,71.862722,152.14062,0.2,1.88943288774701
71.862722,152.14062,69.547617,155.47154,0.2,4.05644415805579
69.547617,155.47154,67.563242,158.63709,0.2,3.73610103491929
67.563242,158.63709,66.783666,160.03088,0.2,1.59699383338697
91.021391,130.99758,93.974329,132.86384,0.2,3.49324622943245
93.974329,132.86384,95.533481,133.8324,0.2,1.83550086698535
95.533481,133.8324,98.391926,135.48605,0.2,3.30231224152487
98.391926,135.48605,101.39211,137.51767,0.2,3.6233387722177
101.39211,137.51767,106.42392,141.53367,0.2,6.43796302226877
106.42392,141.53367,109.9202,145.17169,0.2,5.04570741906426
109.9202,145.17169,111.71559,146.8962,0.2,2.48944973682941
111.71559,146.8962,113.32198,148.85695,0.2,2.53476416942484
113.32198,148.85695,114.95201,151.10119,0.2,2.77373592443476
114.95201,151.10119,116.93638,154.33761,0.2,3.79633227119282
116.93638,154.33761,118.70815,157.3378,0.2,3.48429461570058
118.70815,157.3378,119.51135,161.49553,0.2,4.23460139716832
91.092262,129.13132,88.517298,130.33612,0.2,2.84288280470652
88.517298,130.33612,84.359561,132.50948,0.2,4.69151048712128
84.359561,132.50948,80.603422,134.82459,0.2,4.41229129811497
80.603422,134.82459,76.20945,138.34449,0.2,5.62998098991321
76.20945,138.34449,73.988839,140.28162,0.2,2.94679246812886
73.988839,140.28162,70.988652,143.89602,0.2,4.69734067265393
70.988652,143.89602,67.964843,147.77027,0.2,4.91459397417334
67.964843,147.77027,64.515811,152.49498,0.2,5.84967574495578
64.515811,152.49498,64.468561,152.49498,0.2,0.047250000000005
90.785155,123.8869,95.627975,126.22563,0.2,5.37797020866609
95.627975,126.22563,101.13225,129.24944,0.2,6.280164822019
101.13225,129.24944,103.68359,131.09207,0.2,3.14716080181805
103.68359,131.09207,107.41611,133.61979,0.2,4.50789018819224
107.41611,133.61979,109.6131,135.32068,0.2,2.77845134062124
109.6131,135.32068,112.84952,138.67522,0.2,4.66126088392399
112.84952,138.67522,115.75521,141.79352,0.2,4.26225635856174
115.75521,141.79352,117.38523,143.94326,0.2,2.69784122364531
117.38523,143.94326,118.6609,145.62053,0.2,2.10726566948735
118.6609,145.62053,121.04687,149.18768,0.2,4.29155123042939
121.04687,149.18768,122.01544,152.40048,0.2,3.35562388907039
122.01544,152.40048,122.29892,153.93601,0.2,1.56147791892808
90.714284,122.51674,87.501488,124.2885,0.2,3.66894966376155
87.501488,124.2885,82.658669,126.98158,0.2,5.54126120600365
82.658669,126.98158,78.052082,129.69829,0.2,5.34800495630558
78.052082,129.69829,75.949589,130.7141,0.2,2.33502607504691
75.949589,130.7141,72.92578,133.33631,0.2,4.0024250339739
72.92578,133.33631,70.634301,135.27343,0.2,3.00055159959647
70.634301,135.27343,68.106583,137.56492,0.2,3.41178614623251
68.106583,137.56492,64.964656,141.17931,0.2,4.7891043364526
64.964656,141.17931,63.051152,144.32124,0.2,3.67875273468006
63.051152,144.32124,61.657364,147.15606,0.2,3.15893168988252
